country,code,courses,college,city,type
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Aarupadai Veedu Medical College,Pondicherry,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Abhishek I Mishra Memorial Medical College & Research, Bhiali",Durg,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Acharya Shri Chander College of Medical Sciences,Sidhra,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Adesh Institute of Medical Sciences & Research,Bathinda,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Adesh Medical College and Hospital, Shahabad",Kurukshetra,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Adichunchanagiri Institute of Medical Sciences,Bellur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Agartala Government Medical College,Agartala,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Ajay Sangaal Institute of Medical Sciences and Ayushman Hospital,Shamli,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Akash Institute of Medical Sciences & Research Centre,Bangalore,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Al-Ameen Medical College,Vijayapura (Bijapur),university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Al-Azhar Medical College and Super Speciality Hospital,Thodupuzha,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Al-Falah School of Medical Sciences & Research Centre,Faridabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Bathinda",Bathinda,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Bhopal",Bhopal,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Bhubaneswar",Bhubaneswar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Bibinagar",Bibinagar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Bilaspur",Bilaspur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Deoghar",Deoghar,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Gorakhpur",Gorakhpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Guwahati",Guwahati,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Jodhpur",Jodhpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Kalyani",Kalyani,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Madurai",Ramanathapuram,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Mangalagiri",Mangalagiri,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Nagpur",Nagpur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, New Delhi",New Delhi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Patna",Patna,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Raebareli",Raebareli,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Raipur",Raipur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Rajkot",Rajkot,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"All India Institute of Medical Sciences, Rishikesh",Rishikesh,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Alluri Sitaram Raju Academy of Medical Sciences,Eluru,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Amala Institute of Medical Sciences,Thrissur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Amaltas Institute of Medical Sciences,Dewas,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,American International Institute of Medical Sciences,Udaipur,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Amrita School of Medicine,Kochi,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,"Amrita School of Medicine, Faridabad",Faridabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Ananta Institute of Medical Sciences & Research Centre,Rajsamand,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Ananya College of Medicine & Research,Ahmedabad,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Andaman & Nicobar Islands Institute of Medical Sciences,Port Blair,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Andhra Medical College,Visakhapatnam,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Annaii Medical College and Hospital,Kanchipuram,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Annapoorna Medical College and Hospital,Salem,university
India,IN,AMC|PLAB|FMGE/NExT|NEET PG,Anugrah Narayan Magadh Medical College and Hospital,Gaya,university
